source_id,source_type,language,attack_scope,source_url,license_status,local_path,status,downloaded_at,sha256,notes
chataut_phishing_2024,public_dataset,en,human_annotated_phishing,https://raw.githubusercontent.com/sniff07/phishing-dataset/main/A%20Novel%20dataset/final_cleaned_phis1.csv,review_required,data/v1.2/raw_refs/chataut_2024/final_cleaned_phis1.csv,rejected,2026-09-09T02:42:48.155670Z,a274fe9efce5deb9cb52d0b823c138d4bc2f23870823c90c82d2871e1841342c,"rejected_after_audit: actual messages include 2002-era mail and category is spam, not reliable phishing truth; local file deleted"
chataut_safe_2024,public_dataset,en,human_annotated_safe,https://raw.githubusercontent.com/sniff07/phishing-dataset/main/A%20Novel%20dataset/final_cleaned_safe_1.csv,review_required,data/v1.2/raw_refs/chataut_2024/final_cleaned_safe_1.csv,rejected,2026-09-09T02:42:48.155670Z,5dfec12e84f4f91714d169259477f2697be3429849a72d21016dba555fed2c5b,rejected_after_audit: publication date does not establish message freshness and repository has no explicit license; local file deleted
difraud_phishing_test,public_dataset,en,human_labeled_phishing_benchmark_test,https://huggingface.co/datasets/difraud/difraud/blob/main/phishing/test.jsonl,verified,data/v1.2/raw_refs/difraud_2020/phishing_test.jsonl,existing,2026-09-09T02:53:52.677949Z,a74a0eaef001d0d90dd7db6519a00213cd1bf99b18c06bf5ffc23f2044e5a068,published_or_released=2023-10-21; upstream_test_split; underlying_benchmark=2020; mirror content verified by upstream git blob OID; validation only
epvme_license,public_dataset,en,protocol_mime_ui_attack,https://raw.githubusercontent.com/sunknighteric/EPVME-Dataset/main/LICENSE,review_required,data/v1.2/raw_refs/epvme_2023/LICENSE,downloaded,2026-09-08T13:21:22.468445Z,3972dc9744f6499f0f9b2dbf76696f2ae7ad8af9b23dde66d6af86c9dfb36986,published_or_released=2023-03-23; inspect and sanitize before training
epvme_readme,public_dataset,en,protocol_mime_ui_attack,https://raw.githubusercontent.com/sunknighteric/EPVME-Dataset/main/README.md,review_required,data/v1.2/raw_refs/epvme_2023/README.md,downloaded,2026-09-08T13:21:22.468445Z,fcb2ff90681276f61ea9be728ba82184c92d2595dfa631a1aa7833f8e42423bc,published_or_released=2023-03-23; inspect and sanitize before training
llmgen_cn,public_dataset,zh,phishing_text_generated,https://huggingface.co/datasets/Dizzzy0x00/LLMGen-Phishing-Email-Dataset/resolve/main/CN_Phishing_Email_dataset.csv,review_required,data/v1.2/raw_refs/llmgen_2025/CN_Phishing_Email_dataset.csv,downloaded,2026-09-08T13:21:22.468445Z,102e2c44239698c73e5e34abe277ca7aca25424cacb8af9425549a30fb0fc529,published_or_released=2025-12-13; inspect and sanitize before training
llmgen_email,public_dataset,zh-en,phishing_text,https://huggingface.co/datasets/Dizzzy0x00/LLMGen-Phishing-Email-Dataset,review_required,data/v1.2/raw_refs/llmgen_email,planned,,,auxiliary training or robustness only; not independent final test
llmgen_gpt,public_dataset,zh-en,phishing_text_generated,https://huggingface.co/datasets/Dizzzy0x00/LLMGen-Phishing-Email-Dataset/resolve/main/GPT_Phishing_Email_dataset.csv,review_required,data/v1.2/raw_refs/llmgen_2025/GPT_Phishing_Email_dataset.csv,downloaded,2026-09-08T13:21:22.468445Z,e3a335c8acacec09afaa4b9a14c7010195063310e4dcfbae38c1fa50b8d48dc3,published_or_released=2025-12-13; inspect and sanitize before training
meajor_email,public_dataset,multi,phishing_legitimate_multisource,https://arxiv.org/abs/2507.17978,pending,data/v1.2/raw_refs/meajor_email,planned,,,verify original-source licenses and email-content availability
phishtank_url_feed,threat_intel,multi,phishing_url,https://phishtank.org/developer_info.php,review_required,data/v1.2/raw_refs/phishtank_url_feed,planned,,,URL-only offline snapshot; official feed is updated hourly; never substitute for email body labels
sting9_email,public_dataset,multi,phishing_bec_consent_email,https://sting9.org/dataset,pending,data/v1.2/raw_refs/sting9_email,failed,,,"dataset page advertises a weekly GitHub dump, but research access currently says Coming Soon and API requires researcher registration/JWT; no reproducible public download verified"
twente_validation_2024,public_dataset,en,validation_mixed_real_artificial,https://zenodo.org/records/13474746/files/Phishing_validation_emails.csv,verified,data/v1.2/raw_refs/twente_2024/Phishing_validation_emails.csv,failed,2026-09-08T13:21:22.468445Z,,published_or_released=2024-08-29; HTTPError: download failed
