local_path,file_type,size_bytes,row_count,fields,label_counts,missing_label_rows,sha256,audit_status,data_origin,recommended_role,notes
data/v1.2/raw_refs/epvme_2023/LICENSE,text,35149,,,,,3972dc9744f6499f0f9b2dbf76696f2ae7ad8af9b23dde66d6af86c9dfb36986,inspected,constructed_adversarial_corpus,protocol_attack_audit_only,README/LICENSE only; do not download the EML archive in Phase 1.
data/v1.2/raw_refs/epvme_2023/README.md,text,18582,,,,,fcb2ff90681276f61ea9be728ba82184c92d2595dfa631a1aa7833f8e42423bc,inspected,constructed_adversarial_corpus,protocol_attack_audit_only,README/LICENSE only; do not download the EML archive in Phase 1.
data/v1.2/raw_refs/figshare_2024/Assassin.csv,csv,14879195,5809,"[""sender"", ""receiver"", ""date"", ""subject"", ""body"", ""label"", ""urls""]","{""0"": 4091, ""1"": 1718}",0,3bfe8f8abff89f69a98456be50413c2fcb20a476141116dd84ee1507b980c00e,inspected,historical_public_email_corpus,candidate_training_after_dedup,2024 republication; sample dates are historical and must be measured before temporal split.
data/v1.2/raw_refs/figshare_2024/CEAS-08.csv,csv,67902056,39154,"[""sender"", ""receiver"", ""date"", ""subject"", ""body"", ""label"", ""urls""]","{""0"": 17312, ""1"": 21842}",0,22375e7d5f5a8229dbe987914ee9b3705656c590038662a7df6054629b376074,inspected,historical_public_email_corpus,candidate_training_after_dedup,2024 republication; sample dates are historical and must be measured before temporal split.
data/v1.2/raw_refs/figshare_2024/Enron.csv,csv,44837129,29767,"[""subject"", ""body"", ""label""]","{""0"": 15791, ""1"": 13976}",0,11f28a5bdd3603f1829681ab6b55071b5f9af781b4e6694e39216b2996a96883,inspected,historical_public_email_corpus,candidate_training_after_dedup,2024 republication; sample dates are historical and must be measured before temporal split.
data/v1.2/raw_refs/figshare_2024/Ling.csv,csv,9337509,2859,"[""subject"", ""body"", ""label""]","{""0"": 2401, ""1"": 458}",0,9407c9e022accc6c831e54c5226b99b30ac4ae07682e63f5d483ed0ec17ff23c,inspected,historical_public_email_corpus,candidate_training_after_dedup,2024 republication; sample dates are historical and must be measured before temporal split.
data/v1.2/raw_refs/figshare_2024/TREC-05.csv,csv,123130931,56088,"[""sender"", ""receiver"", ""date"", ""subject"", ""body"", ""label"", ""urls""]","{""0"": 32329, ""1"": 22946, ""<missing>"": 813}",813,cb93c37ff21a3ecc8ff71351b279850ff8698ae00399541c3599600639b60b8c,inspected,historical_public_email_corpus,candidate_training_after_dedup,2024 republication; sample dates are historical and must be measured before temporal split.
data/v1.2/raw_refs/figshare_2024/TREC-06.csv,csv,41922386,16463,"[""sender"", ""receiver"", ""date"", ""subject"", ""body"", ""label"", ""urls""]","{""0"": 12411, ""1"": 3989, ""<missing>"": 63}",63,8ca6b1249f30f0a74790b8a34d4dbe248d526cfb0b13227b41970a1ebd638be5,inspected,historical_public_email_corpus,candidate_training_after_dedup,2024 republication; sample dates are historical and must be measured before temporal split.
data/v1.2/raw_refs/figshare_2024/TREC-07.csv,csv,100246925,53757,"[""sender"", ""receiver"", ""date"", ""subject"", ""body"", ""label"", ""urls""]","{""0"": 24358, ""1"": 29399}",0,48c79ed8bd173587a73d9171d1c315229c44b7ee201f83a95883feed241d6c4b,inspected,historical_public_email_corpus,candidate_training_after_dedup,2024 republication; sample dates are historical and must be measured before temporal split.
data/v1.2/raw_refs/llmgen_2025/CN_Phishing_Email_dataset.csv,csv,3933856,3030,"[""content"", ""label""]","{""0"": 1010, ""1"": 2020}",0,102e2c44239698c73e5e34abe277ca7aca25424cacb8af9425549a30fb0fc529,inspected,llm_generated,auxiliary_training_or_robustness,Do not use as an independent final test set; inspect synthetic artifacts.
data/v1.2/raw_refs/llmgen_2025/GPT_Phishing_Email_dataset.csv,csv,5690445,3746,"[""content"", ""label""]","{""0"": 1269, ""1"": 2477}",0,e3a335c8acacec09afaa4b9a14c7010195063310e4dcfbae38c1fa50b8d48dc3,inspected,llm_generated,auxiliary_training_or_robustness,Do not use as an independent final test set; inspect synthetic artifacts.
